期号,日期,销售额,前区号码,后区号码
25073,2025-06-30,306793454.0,01 04 17 33 34,03 09
25072,2025-06-28,337329044.0,04 07 15 24 29,01 04
25071,2025-06-25,313848778.0,01 08 25 31 33,05 11
25070,2025-06-23,312961169.0,08 09 15 20 22,04 12
25069,2025-06-21,338663590.0,04 06 07 33 34,09 10
25068,2025-06-18,318966997.0,01 04 17 20 22,04 10
25067,2025-06-16,321766533.0,06 10 12 21 22,01 06
25066,2025-06-14,339059066.0,15 18 27 28 34,03 06
25065,2025-06-11,322427160.0,07 25 32 33 35,04 09
25064,2025-06-09,328463659.0,05 10 18 20 34,01 08
25063,2025-06-07,353640087.0,05 18 26 29 32,07 10
25062,2025-06-04,331453922.0,14 20 27 28 29,06 10
25061,2025-06-02,326041766.0,02 11 16 23 28,05 10
25060,2025-05-31,344759819.0,12 14 19 33 34,01 07
25059,2025-05-28,330253002.0,03 09 10 11 26,01 02
25058,2025-05-26,337041717.0,06 11 15 21 23,01 07
25057,2025-05-24,379533383.0,09 10 11 12 29,01 10
25056,2025-05-21,354948673.0,12 15 28 29 32,08 11
25055,2025-05-19,373248241.0,08 10 25 29 30,01 02
25054,2025-05-17,400498726.0,03 12 16 21 29,01 02
25053,2025-05-14,378116432.0,14 23 29 30 33,06 12
25052,2025-05-12,384489687.0,02 04 11 29 30,02 08
25051,2025-05-10,402596942.0,02 04 13 29 31,05 12
25050,2025-05-07,380353203.0,15 18 20 21 34,04 10
25049,2025-05-05,350534405.0,09 20 22 29 34,03 08
25048,2025-05-03,364105069.0,02 06 17 23 35,06 11
25047,2025-04-30,367385544.0,03 10 11 12 21,02 03
25046,2025-04-28,367246953.0,04 10 15 20 34,04 07
25045,2025-04-26,394950774.0,08 11 21 23 27,03 08
25044,2025-04-23,368611600.0,15 17 21 22 26,02 08
25043,2025-04-21,362168053.0,03 16 20 21 27,09 11
25042,2025-04-19,391234678.0,06 08 11 18 20,05 11
25041,2025-04-16,372136085.0,03 04 21 22 27,05 11
25040,2025-04-14,365388846.0,02 08 16 31 32,04 12
25039,2025-04-12,380283087.0,03 07 14 15 19,06 10
25038,2025-04-09,367355129.0,07 08 20 26 34,08 09
25037,2025-04-07,302429281.0,05 20 23 27 31,04 06
25036,2025-04-05,303323074.0,04 07 13 27 30,02 06
25035,2025-04-02,290834566.0,22 25 28 29 30,04 08
25034,2025-03-31,291102580.0,04 15 22 28 33,06 08
25033,2025-03-29,312033249.0,01 02 08 10 33,10 12
25032,2025-03-26,303333312.0,12 22 25 27 28,01 02
25031,2025-03-24,311643171.0,14 18 20 25 35,01 07
25030,2025-03-22,338162194.0,03 09 14 24 28,06 07
25029,2025-03-19,314474524.0,05 09 26 31 33,03 10
25028,2025-03-17,313737340.0,06 08 20 25 29,03 07
25027,2025-03-15,333487900.0,03 06 11 13 20,01 11
25026,2025-03-12,313696373.0,02 03 07 17 30,01 09
25025,2025-03-10,313678335.0,03 06 08 10 25,03 07
25024,2025-03-08,331854703.0,06 12 13 16 23,05 08
