排名,排名变化,全名_中文,全名_英文,年龄,出生地_中文,出生地_英文,性别,照片,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,组织结构,财富值_人民币_亿,财富值变化,财富值_美元,年份
1,4,张一鸣,Zhang Yiming,41,中国-福建-龙岩,China-Fujian-Longyan,先生,https://res.hurun.net/photo/000022_Zhang_Yiming.jpg,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media,未知,3500.0,43%,49300.0,2024
2,-1,钟睒睒,Zhong Shanshan,70,中国-浙江-绍兴,,先生,https://res.hurun.net/photo/005216_Zhong_Shanshan.jpg,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals",未知,3400.0,-24%,47900.0,2024
3,-1,马化腾,Ma Huateng,53,中国-海南,China-Hainan,先生,https://res.hurun.net/photo/000002_Ma_Huateng.jpg,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,未知,3150.0,13%,44400.0,2024
4,-1,黄峥,Huang Zheng,44,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.net/photo/000007_Huang_Zheng.jpg,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce,未知,2450.0,-9%,34500.0,2024
5,3,何享健,He Xiangjian,82,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.net/photo/000004_He_Xiangjian.jpg,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances,家族,2350.0,18%,33100.0,2024
6,-2,曾毓群,Zeng Yuqun,56,中国-福建-宁德,China-Fujian-Ningde,先生,https://res.hurun.net/photo/000057_Zeng_Yuqun.jpg,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,未知,2000.0,-20%,28200.0,2024
6,0,丁磊,Ding Lei,53,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.net/photo/000008_Ding_Lei.jpg,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services,未知,2000.0,-17%,28200.0,2024
6,1,李嘉诚,Li Ka-shing,96,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments,父子,2000.0,-5%,28200.0,2024
9,2,李兆基,Lee Shau Kee,96,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.net/default/icon_men.jpg,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding,家族,1750.0,9%,24600.0,2024
10,0,马云,Ma Yun,60,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.net/photo/000001_Ma_Yun.jpg,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",家族,1650.0,-3%,23200.0,2024
11,-2,李书福,Li Shufu,61,中国-浙江-台州,China-Zhejiang-Taizhou,先生,https://res.hurun.net/photo/000015_Li_Shufu.jpg,吉利,Geely,浙江杭州,Zhejiang,汽车制造,Car Manufacturing,家族,1450.0,-17%,20400.0,2024
11,1,严昊,Yan Hao,38,中国-江苏-淮安,China -Jiangsu - Huai’an,先生,https://res.hurun.net/photo/000010_Yan_Hao.jpg,太平洋建设,China Pacific Construction,新疆乌鲁木齐,Xinjiang,基础建设,Roads,未知,1450.0,-3%,20400.0,2024
11,5,张刚,Zhang Gang,43,中国-山东-聊城,China -Shandong - Liaocheng,先生,https://res.hurun.net/default/icon_men.jpg,信发铝电,Xinfalyudian,山东聊城,Shandong,电解铝、氧化铝,Aluminum,家族,1450.0,7%,20400.0,2024
14,0,李蔡美灵,Lee Choi Mei Ling,未知,中国-香港,China-Hong Kong,先生,https://res.hurun.net/default/icon_men.jpg,李锦记,Lee Kun Kee,香港,Hong Kong,调味品,Food Processing,家族,1400.0,0%,19700.0,2024
14,0,吕向阳,Lyu Xiangyang,61,中国-安徽-芜湖,China -Anhui - Wuhu,先生,https://res.hurun.net/default/icon_men.jpg,融捷,Youngy,广东广州,Guangdong,投资,Investments,夫妇,1400.0,0%,19700.0,2024
16,-3,秦英林,Qin Yinglin,59,中国-河南-南阳,China - Henan - Nanyang,先生,https://res.hurun.net/photo/000016_Qin_Yinglin.jpg,牧原,Muyuan,河南南阳,Henan,畜牧,Pig Farming,夫妇,1350.0,-7%,19000.0,2024
16,0,王传福,Wang Chuanfu,58,中国-安徽-芜湖,China -Anhui - Wuhu,先生,https://res.hurun.net/photo/000097_Wang_Chuanfu.jpg,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy",未知,1350.0,0%,19000.0,2024
16,81,赵长鹏,Zhao Changpeng,47,中国-江苏-连云港,China-Jiangsu-Lianyungang,先生,https://res.hurun.net/default/icon_men.jpg,币安,Binance,美国,USA,虚拟货币交易所,Blockchain,未知,1350.0,200%,19000.0,2024
19,15,雷军,Lei Jun,55,中国-湖北-仙桃,China -Hubei - Fairy Peach,先生,https://res.hurun.net/photo/000029_Lei_Jun.jpg,小米,Xiaomi,北京,Beijing,智能硬件与技术、投资,"IoT, Investments",未知,1300.0,38%,18300.0,2024
20,0,陈建华,Chen Jianhua,53,中国-江苏-苏州,China-Jiangsu-Suzhou,先生,https://res.hurun.net/photo/000013_Chen_Jianhua.jpg,恒力,Hengli,江苏苏州,Jiangsu,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",夫妇,1250.0,0%,17600.0,2024
